06:45	18746	密制薄纱长袍	
06:45	18746	密制薄纱长袍	
06:46	8752	密制天鹅绒短裤	
06:59	8753	密制天鹅绒短裤	
06:59	8754	密制天鹅绒短裤	
06:59	30951	密制豹皮绑腿	
07:09	31107	密制豹皮绑腿	
07:10	13500	密制科堡绑腿	
07:10	13501	密制科堡绑腿	
07:20	13502	密制科堡绑腿	
07:20	13503	密制科堡绑腿	
07:24	9916	密制增益石	
07:34	61652	密制增益石	魔法暴击率+1.8	
07:36	20895	密制檀木名牌	
07:36	21000	密制檀木名牌	
07:54	22934	密制日光石戒指	
07:56	18747	密制薄纱长袍	
07:56	18747	密制薄纱长袍	
07:57	8755	密制天鹅绒短裤	
08:07	8756	密制天鹅绒短裤	
08:07	8757	密制天鹅绒短裤	
08:08	13568	密制科堡绑腿	
08:18	13569	密制科堡绑腿	
08:18	13570	密制科堡绑腿	
08:24	18390	密制檀木名牌	
08:37	18746	密制薄纱长袍	
08:37	18747	密制薄纱长袍	
08:39	8757	密制天鹅绒短裤	
08:48	8758	密制天鹅绒短裤	
08:49	8758	密制天鹅绒短裤	
08:50	13570	密制科堡绑腿	
09:00	13570	密制科堡绑腿	
09:00	13571	密制科堡绑腿	
09:09	18748	密制薄纱长袍	
09:09	18748	密制薄纱长袍	
09:10	8758	密制天鹅绒短裤	
09:20	8758	密制天鹅绒短裤	
09:20	8759	密制天鹅绒短裤	
09:21	13571	密制科堡绑腿	
09:31	13571	密制科堡绑腿	
09:31	13572	密制科堡绑腿	
09:32	30000	密制紫玛瑙手镯	火属性抗性+5	
09:50	18748	密制薄纱长袍	
09:50	18749	密制薄纱长袍	
09:52	8758	密制天鹅绒短裤	
10:02	8759	密制天鹅绒短裤	
10:02	8759	密制天鹅绒短裤	
10:03	13572	密制科堡绑腿	
10:12	13572	密制科堡绑腿	
10:13	13573	密制科堡绑腿	
10:18	30000	密制檀木名牌	
10:30	30000	密制日光石戒指	移动速度+2.2	
10:31	18749	密制薄纱长袍	
10:32	18750	密制薄纱长袍	
10:33	8758	密制天鹅绒短裤	
