15:19	122200	密制锦丝长裤	智力+19	
15:20	115800	密制锦丝护肩	智力+17	
16:45	113200	密制纤尘肩甲	力量+18	
16:46	113200	密制角斗士胸甲	力量+18	
16:47	113200	密制神木腰带	力量+18	
16:48	110800	密制科堡胸甲	力量+17	
16:48	113200	密制科堡胸甲	力量+18	
16:49	118200	密制天鹅绒短靴	智力+18	
16:50	118200	密制薄纱斗篷	智力+18	
16:50	206800	密制檀木名牌	力量+24	
16:51	115000	密制锦丝腰带	智力+16	
16:52	118200	密制增益石	力量+15	
16:53	110800	密制增益石	智力+14	
16:54	110000	密制紫玛瑙手镯	力量+13	
16:54	117200	密制科堡胸甲	力量+19	
16:55	130000	密制增益石	智力+18	
16:56	113200	密制增益石	力量+15	
16:57	149200	密制天鹅绒短靴	智力+23	
16:57	117200	密制薄纱斗篷	智力+19	
16:58	110800	密制薄纱斗篷	智力+17	
