04:24	115000	密制提花短靴	智力+16	
04:24	110000	密制提花长袍	智力+16	
04:25	135000	密制提花护肩	智力+21	
04:25	122800	密制提花护肩	智力+20	
04:25	122800	密制提花护肩	智力+20	
04:26	110800	密制提花护肩	智力+17	
04:26	295000	密制锦丝长裤	智力+31	
04:27	127800	密制提花短靴	智力+20	
04:27	117200	密制提花长袍	智力+19	
04:28	117200	密制锦丝腰带	智力+19	
04:28	118200	密制提花长裤	智力+18	
04:28	462800	密制提花长裤	智力+37	
04:29	290000	密制提花长裤	智力+31	
04:29	127800	密制提花护肩	智力+20	
04:30	117200	密制提花长袍	智力+19	
04:30	110800	密制锦丝腰带	智力+17	
04:30	154200	密制锦丝短靴	智力+23	
04:31	127800	密制锦丝长裤	智力+20	
04:31	174800	密制锦丝短靴	智力+25	
04:32	110800	密制锦丝短靴	智力+17	
04:32	115000	密制提花长袍	智力+16	
04:33	135000	密制提花护肩	智力+21	
